#E/GeV N_CC N_NC
11.295 5.777 2.999
14.219 9.640 4.628
17.901 15.000 6.752
22.536 21.908 9.355
28.371 30.551 12.496
35.717 41.827 16.523
44.965 55.279 21.237
56.607 71.409 26.827
71.264 86.806 32.035
89.716 108.583 39.504
112.946 128.826 46.330
142.191 147.577 52.593
179.008 161.276 57.046
225.357 173.119 60.864
283.708 178.737 62.527
357.167 182.071 63.434
449.647 170.210 59.097
566.072 157.230 54.428
712.643 136.021 46.961
897.164 110.149 37.934
1129.463 88.910 30.529
1421.909 58.658 20.092
1790.078 35.390 12.099
2253.574 27.710 9.456
2837.082 12.079 4.116
3571.675 4.076 1.387
4496.472 2.308 0.784
5660.723 1.637 0.555
7126.428 0.000 0.000
8971.641 0.000 0.000
