#E/GeV N_CC N_NC
11.295 16.540 6.045
14.219 25.982 9.105
17.901 41.126 13.947
22.536 57.911 19.138
28.371 78.927 25.571
35.717 104.431 33.326
44.965 134.444 42.414
56.607 173.412 54.241
71.264 217.881 67.716
89.716 269.324 83.323
112.946 312.493 96.367
142.191 364.129 112.049
179.008 406.089 124.787
225.357 434.353 133.362
283.708 459.295 140.978
357.167 474.022 145.514
449.647 461.943 141.868
566.072 428.067 131.556
712.643 377.493 116.118
897.164 311.569 95.943
1129.463 250.128 77.125
1421.909 186.076 57.461
1790.078 124.368 38.464
2253.574 76.918 23.839
2837.082 43.286 13.447
3571.675 33.221 10.351
4496.472 8.103 2.534
5660.723 4.707 1.476
7126.428 0.000 0.000
8971.641 0.000 0.000
