#E/GeV N_CC N_NC
11.295 0.000 0.000
14.219 0.001 0.000
17.901 0.001 0.001
22.536 0.002 0.001
28.371 0.005 0.002
35.717 0.009 0.003
44.965 0.019 0.007
56.607 0.031 0.012
71.264 0.057 0.021
89.716 0.097 0.035
112.946 0.186 0.067
142.191 0.264 0.094
179.008 0.408 0.144
225.357 0.571 0.201
283.708 0.811 0.284
357.167 0.947 0.330
449.647 1.161 0.403
566.072 1.177 0.407
712.643 1.200 0.414
897.164 1.069 0.368
1129.463 0.970 0.333
1421.909 0.740 0.254
1790.078 0.496 0.169
2253.574 0.308 0.105
2837.082 0.174 0.059
3571.675 0.024 0.008
4496.472 0.000 0.000
5660.723 0.000 0.000
7126.428 0.000 0.000
8971.641 0.000 0.000
