#E/GeV N_CC N_NC
11.295 0.074 0.027
14.219 0.120 0.042
17.901 0.204 0.069
22.536 0.326 0.108
28.371 0.461 0.149
35.717 0.663 0.212
44.965 0.945 0.298
56.607 1.337 0.418
71.264 1.860 0.578
89.716 2.352 0.728
112.946 3.139 0.968
142.191 4.027 1.239
179.008 5.558 1.708
225.357 6.856 2.105
283.708 7.912 2.429
357.167 9.282 2.849
449.647 10.020 3.077
566.072 11.125 3.419
712.643 10.923 3.360
897.164 10.370 3.193
1129.463 9.334 2.878
1421.909 7.429 2.294
1790.078 5.994 1.854
2253.574 4.012 1.244
2837.082 3.286 1.021
3571.675 1.874 0.584
4496.472 1.001 0.313
5660.723 0.149 0.047
7126.428 0.000 0.000
8971.641 0.000 0.000
