Enu[GeV] events upper lower
1.29244660e+01 0.0360045 0.0780682 0.00129077
2.04838981e+01 0.101223 0.184027 0.0162872
3.24647907e+01 0.231077 0.392349 0.0557268
5.14532258e+01 0.573945 0.915404 0.190572
8.15478672e+01 1.10252 1.73195 0.435123
1.29244660e+02 1.9672 2.77058 0.767219
2.04838981e+02 3.61082 4.80226 1.6247
3.24647907e+02 3.93111 5.22636 1.83454
5.14532258e+02 5.1134 6.60255 2.60365
8.15478672e+02 4.30062 6.08987 1.09143
1.29244660e+03 2.63219 4.17511 0
2.04838981e+03 1.72102 3.0638 0
3.24647907e+03 0.444332 0.814274 0
5.14532258e+03 0.0399718 0.0793029 0
8.15478672e+03 0.000135229 0.000215338 0
